backbone,setting,n_train,n_test,D,EVR_PC1,spearman_PC1_KL_signed,abs_spearman_PC1_KL,spearman_PC1_OA_signed,abs_spearman_PC1_OA,OA_probe_AUROC_test,OA_probe_AUROC_train
ResNet3D,Single-OA,383,98,512,0.977853,-0.8015965229063688,0.8015965229063688,-0.6277828061167086,0.6277828061167086,0.8834498834498834,1.0
ResNet3D,Single-KL,383,98,512,0.30050305,-0.6664764373416802,0.6664764373416802,-0.5621422938662077,0.5621422938662077,0.8433566433566434,0.9564338235294118
ResNet3D,Dual,383,98,512,0.42284423,0.7526343775683922,0.7526343775683922,0.6102277853985514,0.6102277853985514,0.8727272727272728,0.9969056372549019
M3T,Single-OA,383,98,128,0.99625844,0.6474043540120596,0.6474043540120596,0.5140568023338642,0.5140568023338642,0.813986013986014,1.0
M3T,Single-KL,383,98,128,0.5455337,-0.6832593474321488,0.6832593474321488,-0.5430607496073412,0.5430607496073412,0.8317016317016318,0.9954044117647058
M3T,Dual,383,98,128,0.6058677,0.7220314016084146,0.7220314016084146,0.6789213447304708,0.6789213447304708,0.9146853146853148,1.0
nnMamba,Single-OA,383,98,32,0.9359862,0.6277305451452905,0.6277305451452905,0.5743544821918823,0.5743544821918823,0.8508158508158509,0.9998468137254902
nnMamba,Single-KL,383,98,32,0.9697509,0.7812621240477302,0.7812621240477302,0.6048849530060687,0.6048849530060687,0.8694638694638694,0.9864276960784314
nnMamba,Dual,383,98,32,0.9674978,-0.6892831432986031,0.6892831432986031,-0.5224526818077654,0.5224526818077654,0.8191142191142192,1.0
